RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20
89249,332,71913,Zip,AR,AR,Hot Springs,Hot Springs,Garland County,91204,90258,90182,90125,90644,90944,90806,90548,90160,90116,90160,90287,90258,91196,91644,91640,90742,90304,90422,90982,91873,92190,92473,92837,93669,94109,94516,94808,95420,95850,96356,96397,96269,96486,96716,96730,96249,95697,95418,95151,94976,94962,95166,95589,96014,96268,96338,96212,96315,96767,97553,98516,99481,100163,100647,101029,101408,101749,102204,103086,104149,104864,104969,104746,104580,104656,104744,104929,105066,105453,105854,106164,106120,106050,106050,106181,106393,106545,106841,106908,107052,107106,107339,107662,108165,108800,109607,110365,110926,111453,112055,112984,113930,114814,115591,116298,117096,117968,118884,119671,120494,121317,121971,122366,122677,123128,123366,123458,123446,123557,123769,124393,125123,125931,126747,127767,128912,129965,131293,132767,134258,135525,136641,137471,138220,139023,139987,141129,142278,143380,144364,145063,145807,146243,146770,147069,147417,147889,148685,149592,149974,149784,149192,148978,148906,149282,149725,150628,151433,151392,150529,148911,148181,148279,148813,148533,147211,145636,143700,142482,141366,140892,140162,139497,139011,137895,136902,136400,137404,138473,139909,139979,140383,140239,140547,140763,139839,139874,139731,140063,139564,138694,137587,136608,135416,135156,136264,137851,139779,140765,141405,141275,140135,140258,140652,141884,142750,143180,141434,139551,137930,137368,137536,138502,141143,142825,143755,143847,143738,143808,144391,145202,145840,146093,145730,145185,144175,143055,142183,141157,140391,139255,138673,138052,137939,137639,137385,136630,135402,134824,134918,136286,137698,139008,140041,140827,141063,140829,140779,141007,141904,142254,142329,141514,141059,141103,141209,141328,141528,142466,143179,143742,144141,144996,145550,145912,146185,146335,146544,146539,146800,147261,148059,149129,149326,149070,149441,150307,151218,151702,152519,153299,153764,153940,154465,155178,156302,157060,157160,157093,157351,158061,158528,159213,160118,161110,161806,162347,163134,164485,166238
89319,664,72034,Zip,AR,AR,Conway,Little Rock-North Little Rock-Conway,Faulkner County,97184,97271,97483,97823,98322,98916,99686,100513,101273,101918,102468,103033,103502,104205,104874,105728,106261,106638,106857,107009,107256,107601,108106,108645,109683,110572,111355,111680,112094,112554,112843,113132,113391,113755,114076,114305,113789,113170,112680,112700,112916,113050,113202,113254,113352,113447,113522,113519,113666,114078,114408,114766,114768,114912,114966,115189,115464,115873,116493,117243,118328,118680,119162,119243,119797,120084,120483,120828,121130,121272,121304,121298,121627,121898,122494,122823,123408,123640,123932,124081,124254,124268,124401,124655,123887,124015,123141,123246,122752,123484,124216,125191,126282,127641,128399,128794,129428,129859,130719,131369,132036,132258,132380,132590,132586,132494,132755,133244,134210,135214,136609,137654,138688,139364,140220,140591,140998,141561,142576,143633,144452,145154,145776,146267,146911,147559,148140,148974,150036,151050,151709,152327,152875,153330,153480,153762,153892,154332,154778,155252,155362,155367,155373,155536,155681,155830,155910,156039,156252,156400,156462,156420,156408,156323,156328,156103,155977,155686,155654,155583,155544,155269,155058,154980,155198,155497,155701,156028,156265,156680,156874,157248,157399,157714,157746,157778,157490,157205,157012,156759,156637,156413,156345,156077,156109,156051,156308,156359,156551,156647,156654,156655,156492,156397,156357,156356,156427,156412,156437,156563,156730,156865,156877,156900,157021,157150,157294,157381,157295,157299,157307,157439,157462,157501,157660,157993,158309,158588,158855,159147,159664,160028,160211,160056,160056,160438,160846,160864,160988,161042,161080,161213,160889,160862,160716,161026,161259,161119,161066,161325,161694,162255,162651,163054,163689,164390,165215,165920,166710,167609,168377,168956,169308,169582,169950,170157,170426,170660,171039,171386,171589,171833,172140,172667,173115,173578,174113,174864,175597,176041,176604,177103,177811,178324,178867,179303,179857,180481,181027,181591,182011,182649,183101,183628,184046,184578,185073,185563,186034,186445,186853
89707,870,72701,Zip,AR,AR,Fayetteville,Fayetteville-Springdale-Rogers,Washington County,92521,92670,92803,93166,93486,93901,94285,94713,95074,95441,95890,96362,96387,96430,96565,97165,97724,98126,98531,98966,99434,99900,100352,100830,102263,103586,104887,104902,105163,105428,105874,106111,106446,106788,107000,107087,106633,106325,105909,106265,106443,106621,106532,106572,106785,106979,107027,107125,107217,107618,108128,108986,109547,110614,111795,113320,114119,115074,116484,118047,119200,119484,119616,119407,119513,119164,118975,118544,118442,118107,117679,117192,117322,118019,119045,120152,121209,122037,122613,123142,124097,125093,125836,126411,126777,127233,127494,127567,127764,128438,129509,130499,131119,131774,132717,133896,135219,136183,137168,138325,139662,141009,142258,143785,145318,146790,148089,149418,150601,152121,153535,155102,156366,157708,158993,160145,161532,163335,165216,166684,167869,169156,170740,172265,173985,175461,176807,177880,178693,179012,179374,179911,180645,181120,181296,181670,181472,180878,179846,178952,178337,178033,178034,177996,177768,177317,176928,176124,175307,174495,173815,173124,172132,171079,168913,167251,165469,164179,162423,160879,160175,160281,161289,162173,163240,163251,163978,163571,163882,163440,163722,163798,163509,162467,160562,158987,156954,156000,155009,154963,154542,154440,153826,152556,150734,149369,148786,148345,148253,148106,148454,148719,148815,148854,149570,151910,154660,156727,157583,158136,158838,159293,159111,159193,160023,160858,160869,159550,159293,159723,161039,162227,163211,164374,164703,164665,163730,164349,166019,168129,169440,169743,169834,169404,169474,170333,172613,174583,176480,176607,176123,175658,174430,174444,174793,176361,177308,177287,177051,177147,178205,179597,180824,182327,184819,186908,188027,188376,189176,190328,191151,192207,192476,193003,193737,194088,193982,194070,195607,197708,199560,200907,202720,204034,205663,207292,208761,210155,211138,212423,213283,213988,214719,215876,217231,218568,219479,220062,220863,222232,223712,224812,225642,226377,227098,227647,227829,228159,228725,229374,229775
89749,916,72764,Zip,AR,AR,Springdale,Fayetteville-Springdale-Rogers,Washington County,90921,91003,91077,91203,91367,91523,91801,91980,92221,92345,92608,92877,93065,93327,93611,94126,94488,94848,95266,95645,96001,96308,96706,97078,97925,98536,99152,99141,99429,99785,99758,100096,100323,100959,101027,101108,100602,100238,99828,100057,100071,100072,100113,100063,100041,99985,100172,100430,100617,101055,101538,101932,102261,102507,102992,103440,104070,104429,104897,105304,106069,106406,106602,106702,106999,107439,107948,108488,108839,109240,109613,110084,110485,110889,111328,111704,112057,112362,112533,112558,112704,112896,113138,113273,113426,113979,114765,115665,116721,117705,118628,119619,120627,121757,122731,123708,124718,125554,126329,127132,127899,128962,130162,131474,132583,133625,134751,136118,137483,138910,140270,141612,142885,144057,145365,146562,148124,149655,151230,152302,153351,154414,155655,156836,157983,158893,159629,160405,160889,161211,161410,161821,161927,161815,161397,161274,160802,160490,159861,159304,158505,157833,157625,157215,156796,155893,155017,153756,152566,151052,149521,147629,145930,144176,141545,139237,136814,135157,133468,131911,130520,129402,128703,128054,127714,127157,127077,126393,126111,125218,124158,122929,122103,121211,119921,118486,116575,114890,113201,112264,111257,110727,110257,109343,107600,105981,104908,104380,103892,103577,103595,103541,103514,103402,103803,105355,107288,108936,109956,110832,112077,113197,113893,114806,115931,116743,116836,115943,115929,116211,117152,117913,118602,119294,119645,119449,118694,118913,120062,121818,123007,123589,123994,124031,124254,124682,125794,127104,128671,129519,129522,129213,128358,128635,128972,130273,131117,131739,132094,132377,133018,133584,134558,135910,138024,139554,140418,140603,141182,142053,142982,144069,144677,145378,146074,146450,146537,146657,147808,149395,150897,151933,153146,154212,155569,157159,158398,159571,160392,161633,162404,162893,163261,164059,165031,165919,166533,166951,167979,169392,170889,171834,172676,173534,174342,174884,175082,175275,175506,175605,175228
89528,1236,72401,Zip,AR,AR,Jonesboro,Jonesboro,Craighead County,72002,72008,72058,72134,72232,72330,72385,72452,72551,72738,72953,73165,73277,73477,73651,73985,74238,74459,74674,74899,75173,75369,75629,75924,76562,77036,77451,77498,77663,77958,78433,78958,79364,79659,79799,79921,79773,79728,79806,80128,80509,80796,81019,81096,81159,81367,81588,81780,81867,82080,82320,82634,82852,83105,83278,83536,83855,84345,85014,85766,86592,87015,87295,87348,87514,87749,88070,88386,88555,88313,87926,87406,87011,86907,87079,87445,87646,87684,87640,87714,87823,88083,88304,88643,88987,89272,89175,88979,89018,89053,89230,89142,89463,89752,90036,90179,90182,90213,90404,90728,90971,91344,91585,91839,91745,91678,91770,92099,92652,93285,93814,94223,94499,94760,95012,95436,95987,96678,97424,97931,98237,98328,98710,99064,99546,99883,100459,101028,101559,101807,101847,101862,101974,102219,102231,102322,102379,102779,102962,103075,103056,103294,103471,103841,104010,104272,104629,105060,105304,105183,105156,105108,105163,105173,105271,105383,105343,105300,105010,104629,104488,104491,104172,103987,103803,103669,103630,104042,104320,104351,104144,104475,104739,104819,105185,105264,105360,105299,105330,104271,104241,104255,105252,105167,105129,105344,105415,105724,105871,106095,106107,106467,106527,106643,106249,106301,106262,106264,106389,106544,107055,107540,108020,108664,108779,108957,109176,109543,109826,109797,109893,109969,109742,109447,109359,109428,109657,109864,110145,110441,110892,111576,111971,112302,112535,112984,113257,113381,113566,113723,113602,113578,113497,113450,113448,113505,113598,113414,113226,113340,113524,113809,114142,114203,114315,114505,114997,115429,116027,116779,117604,118059,118334,118492,118836,119342,119950,120283,120382,120360,120619,121075,121572,121799,122183,122649,123227,123689,124006,124305,124768,125221,125580,125538,125407,125529,125741,126161,126592,127072,127628,128201,128717,129317,129813,130500,131228,131973,132622,133103,133493
58069,1347,727,Zip,AR,AR,Walnut Ridge,,Lawrence County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67574,67712,67939,68382,68698,69001,69442,70399,70942,71122,71212,71576,72289,72338,72260,71860,72078,72262,72145,71180,70869,71146,71742,71799,71356,71745,72422,73447,73807,74209,74670,75143,75334,75431,75089,75118,75066,75836,76131,76614,76469,76183,75952,76387,77317,78081,78985,79699,80735,80718,81493,82357,84008,85394,86375,87716,88175,88169,87827,87773,88411,89034,89964,90545,91114,91324,91745,91521,91633,92007,92444,92555,91878,91449,90295
89745,1592,72758,Zip,AR,AR,Rogers,Fayetteville-Springdale-Rogers,Benton County,134859,134839,134875,134473,134148,134260,135048,136131,136895,138310,138859,139471,139311,139865,140495,142315,144103,145080,144518,143584,143609,142918,143441,143491,144578,144736,144676,143725,142591,141810,142351,142931,142779,142406,142127,142772,143434,143998,144439,144637,145279,145902,145876,145817,145941,146151,146261,145770,145452,145380,145419,146133,146175,146935,148033,149644,150995,151984,152839,153706,154656,155118,155711,155935,156824,157066,156950,156168,155574,155425,155749,156241,156686,157114,157518,157911,158172,158499,159250,160336,161320,161987,162786,163851,165210,166461,167500,168373,169194,169950,170597,170993,171792,172960,173941,174840,175133,176221,177380,179111,180447,182071,184092,186870,189324,191229,192934,194740,197433,199846,202764,205109,207634,209775,211275,212350,213686,215716,217654,218981,219381,219746,219943,220645,221695,222860,224181,225208,226044,226105,226076,225830,226116,225915,224868,223143,221682,220577,219464,218375,217200,215974,214711,214310,213952,213608,213738,214192,213733,212905,211921,210957,209486,208335,207354,205585,203109,200771,198679,196658,195119,193541,192527,191684,191641,191657,191716,191591,191265,190359,189083,187946,187571,187698,187042,185555,183126,180186,177499,175843,175244,175192,175027,174610,173134,171186,169931,169715,170553,171960,172642,173106,172872,173325,174124,174961,176227,177600,178741,178899,178648,178714,179925,180954,182194,182728,183199,183839,184799,186056,187416,189248,190842,191745,191732,191398,191943,192584,193664,194534,194972,195156,194779,195165,195644,196538,197499,198939,199411,200119,200077,200374,200453,200621,201037,201073,201563,202146,203071,203530,204266,204754,206085,207157,208872,210667,212693,214124,215114,216145,217587,219208,220447,221064,221551,221800,222192,222599,223676,224991,226118,226586,226648,226990,228265,230416,231812,233747,234932,235777,235195,234764,235201,236197,236633,237041,236469,236684,237229,237971,238638,239480,241043,242507,243466,244308,245707,246999,248698,249534,250528
89743,1653,72756,Zip,AR,AR,Rogers,Fayetteville-Springdale-Rogers,Benton County,101606,101357,101098,100762,100498,100575,100659,100841,100768,100250,99102,98020,97130,96894,96686,96746,96608,95903,94845,93858,93521,93822,94937,95762,96477,96408,96611,96101,95789,95457,95910,96127,95975,95620,95164,95128,94980,95034,94769,94727,94700,95368,95673,95923,95887,96108,96558,96827,96855,96907,96970,97339,97438,97482,97589,97915,98447,98864,99382,99771,100421,100827,101458,101936,102691,103104,103396,103485,103527,103551,103468,103611,103594,103616,103590,103600,103468,103349,103448,103838,104383,105012,105890,106861,107836,108590,109234,109890,110735,111642,112476,112940,113419,113872,114449,114961,115723,116802,118014,119173,120161,121244,122557,124306,126085,127814,129237,130731,132271,133885,135592,137399,139093,140845,142181,143588,144975,146675,148169,149261,149874,150555,151175,152014,153213,154221,155211,155627,155931,155694,155563,155450,155755,155644,154938,153744,152583,151823,151207,150947,150674,150368,149848,149746,149533,149401,149852,150328,150003,149080,148238,147317,145929,144882,144115,143064,141348,139597,137763,136187,135274,134478,133731,132719,132488,132175,132149,131656,131318,130409,129348,128281,127643,127298,126643,126000,124470,122536,120146,118652,117852,117699,117468,117082,115950,114540,113304,112511,112661,113303,113811,113999,113756,113912,114297,114889,115955,117134,118388,118963,119133,119472,120449,121427,122465,123093,123747,124393,124956,125880,126810,128186,129269,129993,130290,130458,131098,131744,132646,133408,133901,133986,133863,134244,134874,135556,136219,137162,137723,138363,138549,138747,139006,139324,139887,140003,140419,140976,141823,142528,143325,144107,145078,146113,147486,149111,150729,151977,152902,153844,155165,156241,156966,157088,157546,157900,158376,158875,159807,161059,162071,162632,162710,163186,164381,166291,167760,169676,170985,171861,171696,171614,172220,173250,174028,174597,174460,174891,175566,176244,176895,177739,179187,180503,181458,182293,183489,184719,186236,187096,187937
89709,1671,72703,Zip,AR,AR,Fayetteville,Fayetteville-Springdale-Rogers,Washington County,113540,113441,113529,113686,113832,113973,114142,114375,114565,114712,114981,115239,115676,116224,116849,117369,117729,118023,118359,118590,118802,118969,119294,119676,119915,120084,120028,119736,119757,119905,119987,120264,120697,121400,121559,121641,121463,121360,120928,120944,121189,121589,121945,121888,121980,121943,122028,122242,122787,123571,125111,126656,127460,128384,129570,131647,132934,134025,135204,136302,137280,137878,138195,138450,138940,139107,139056,138671,138902,139373,140025,140579,141176,141749,142272,142591,143077,143608,144240,144416,144667,144834,145209,145693,146217,146840,147487,148270,149389,150289,151111,152066,153095,154251,154902,155639,156518,157501,158396,159156,159744,161022,162534,164312,165712,166977,168468,170106,171546,173045,174574,176280,177769,178993,180352,181700,183406,185145,186974,188167,189289,190392,191860,193383,194944,196158,197009,197567,197850,197970,198025,198617,199327,200020,199825,199626,199119,198715,197930,197233,196867,196746,196974,196687,196156,195123,194760,194154,193452,192422,191466,190339,188977,187580,185053,183157,181107,179898,178202,176797,176081,176308,177274,178434,179624,179872,180846,180615,181178,180725,180896,180816,180840,180069,178361,176345,174023,172922,171992,171830,171247,171221,170755,169471,167264,165582,165127,165163,165226,164979,164976,165535,165798,165932,166685,169236,171925,173535,173640,173859,174480,174930,174690,174579,175331,175807,175407,173664,173545,174425,176311,177773,179193,180640,181555,181484,180286,180755,182412,184658,185848,186004,185954,185010,184210,184093,185183,186632,188481,188822,188249,187322,185761,185650,185898,187662,188916,189487,189745,189976,190843,191868,193054,194965,197728,199645,200356,200436,201199,202245,203290,204779,205601,206391,207326,207452,207377,207709,209534,211695,213468,214893,216568,217468,218639,220330,221629,223022,223772,225112,226172,227300,228234,229624,231160,232848,234128,234725,235796,237327,238991,240066,240771,241262,241907,242253,242286,242405,242717,243144,243194
89355,1673,72076,Zip,AR,AR,Jacksonville,Little Rock-North Little Rock-Conway,Pulaski County,69907,70173,70579,71193,71619,71798,71923,72117,72295,72592,72720,73017,73089,73288,73093,73003,73190,73593,73991,74235,74501,74722,75169,75237,75546,75551,75896,76058,76109,76415,76755,77201,77548,77701,77735,77806,77902,78191,78332,78608,78851,78786,78772,78579,78484,78175,77965,78115,78447,78830,79165,79531,79919,80251,80493,80670,80766,81014,81517,81973,82233,82189,82073,81934,81906,82108,82319,82617,83043,83453,83561,83461,83468,83706,84057,84500,84844,85171,85414,85816,86082,86553,87025,87616,88087,88639,89132,89598,89920,90219,90767,91140,91480,91585,91905,92357,92892,93410,93821,94074,94554,95001,95160,95293,95526,95838,96013,96041,96257,96329,96659,97101,97521,97841,98414,99118,99914,100823,101686,102541,103059,103610,104043,104464,104841,105279,105557,105667,105826,105910,106059,106078,106105,106125,106161,106252,106536,106756,107031,107331,107463,107469,107344,107384,107617,107922,108116,108202,107932,107776,107407,107322,107168,107106,106897,106473,105916,105327,104871,104582,104413,104498,105100,105405,105616,105612,106152,107035,108011,108884,109411,109810,110111,110038,109416,108771,108440,108199,107598,106612,105553,104663,104174,103600,103007,102442,101942,101467,100699,100471,100348,100566,100682,100699,101010,101395,102159,102413,102766,103214,103928,104035,103989,103932,104079,104130,103577,102805,101705,101656,102064,102620,102678,102833,102972,102789,102528,102422,102449,102947,103464,103474,102860,101992,101936,101870,101942,102229,102447,102575,102633,102562,102807,102922,103497,103958,104022,103924,103850,103712,103694,103907,103957,103742,102677,102122,101069,100440,99660,99109,98592,98193,98090,97751,97807,98046,99146,99704,100336,100605,101009,101696,102258,102642,102666,102914,103257,103424,103347,103320,103709,104024,104430,104331,104369,104521,105053,105200,104839,104291,103874,103851,103607,103587,103564,103832,104133,104496,104776,105376,106351
