team,conf,coach,firstyear,currwin,currloss,currwin%,win,loss,win%,oc,dc,stc
Cincinnati Bearcats,The American,Luke Fickell,2017,35,14,0.714,41,21,0.661,Mike Denbrock,Mike Tressel,Brian Mason
East Carolina Pirates,The American,Mike Houston,2019,7,14,0.333,7,14,0.333,Donnie Kirkpatrick,Blake Harrell,Tim Daoust
Houston Cougars,The American,Dana Holgorsen,2019,7,13,0.35,68,54,0.557,Shannon Dawson,Doug Belk,Mark Scott
Memphis Tigers,The American,Ryan Silverfield,2020,8,4,0.667,8,4,0.667,Kevin Johns,Mike MacIntyre,Charles Bankins
Navy Midshipmen,The American,Ken Niumatalolo,2007,101,67,0.601,101,67,0.601,Ivin Jasper,Brian Newberry,Danny O'Rourke
SMU Mustangs,The American,Sonny Dykes,2018,22,14,0.611,63,59,0.516,Garrett Riley,Jim Leavitt,Kenny Perry
South Florida Bulls,The American,Jeff Scott,2020,1,8,0.111,1,8,0.111,Charlie Weis Jr.,Glenn Spencer,Daniel Da Prato
Temple Owls,The American,Rod Carey,2019,9,11,0.45,61,41,0.598,Mike Uremovich,Jeff Knowles,Brett Diersen
Tulane Green Wave,The American,Willie Fritz,2016,29,33,0.468,46,40,0.535,Chip Long,Chris Hampton,Willie Fritz
Tulsa Golden Hurricane,The American,Philip Montgomery,2015,31,40,0.437,31,40,0.437,Philip Montgomery,Joseph Gillespie,Calvin Lowry
UCF Knights,The American,Gus Malzahn,2021,0,0,–,77,38,0.67,Tim Harris Jr. / G. J. Kinne,David Gibbs / Travis Williams,Brian Blackmon
Boston College Eagles,ACC,Jeff Hafley,2020,6,5,0.545,6,5,0.545,Frank Cignetti Jr.,Tem Lukabu,Matt Thurin
Clemson Tigers,ACC,Dabo Swinney,2008,140,33,0.809,140,33,0.809,Tony Elliott,Brent Venables,Mickey Conn
Duke Blue Devils,ACC,David Cutcliffe,2008,74,88,0.457,118,117,0.502,Re'Quan Boyette / Jeff Faris,Ben Albert / Matt Guerrieri,Kirk Benedict
Florida State Seminoles,ACC,Mike Norvell,2020,3,6,0.333,41,21,0.661,Kenny Dillingham,Adam Fuller,John Papuchis
Georgia Tech Yellow Jackets,ACC,Geoff Collins,2019,6,16,0.273,21,26,0.447,Dave Patenaude,Nathan Burton / Andrew Thacker,Jeff Popovich / Chris Wiesehan
Louisville Cardinals,ACC,Scott Satterfield,2019,12,13,0.48,59,29,0.67,Scott Satterfield,Bryan Brown / Cort Dennison,Stu Holt
Miami Hurricanes,ACC,Manny Diaz,2019,14,10,0.583,14,10,0.583,Rhett Lashlee,Manny Diaz,Jonathan Patke
North Carolina Tar Heels,ACC,Mack Brown,2019[N 1],15,10,0.6,259,132,0.662,Phil Longo,Jay Bateman / Tommy Thigpen,Jovan Dewitt
NC State Wolfpack,ACC,Dave Doeren,2013,55,46,0.545,78,50,0.609,Tim Beck,Tony Gibson,Todd Goebbel
