RK,School,Conference,Revenue,Expenses
1,Texas,Big 12,"$223,879,781 ","$204,234,897 "
2,Texas A&M,SEC,"$212,748,002 ","$169,012,456 "
3,Ohio State,Big Ten,"$210,548,239 ","$220,572,956 "
4,Michigan,Big Ten,"$197,820,410 ","$190,952,175 "
5,Georgia,SEC,"$174,042,482 ","$143,299,554 "
6,Penn State,Big Ten,"$164,529,326 ","$160,369,805 "
7,Alabama,SEC,"$164,090,889 ","$185,317,681 "
8,Oklahoma,Big 12,"$163,126,695 ","$157,958,270 "
9,Florida,SEC,"$159,706,937 ","$141,829,002 "
10,LSU,SEC,"$157,787,782 ","$148,977,880 "
11,Wisconsin,Big Ten,"$157,660,107 ","$154,621,828 "
12,Florida State,ACC,"$152,757,883 ","$150,147,316 "
13,Auburn,SEC,"$152,455,416 ","$139,260,711 "
14,Iowa,Big Ten,"$151,976,026 ","$146,282,275 "
15,Kentucky,SEC,"$150,435,842 ","$144,886,246 "
16,Tennessee,SEC,"$143,765,903 ","$142,976,173 "
17,South Carolina,SEC,"$140,695,659 ","$136,879,732 "
18,Michigan State,Big Ten,"$140,010,865 ","$135,655,740 "
19,Louisville,ACC,"$139,955,824 ","$151,167,940 "
20,Arkansas,SEC,"$137,497,788 ","$129,620,361 "
21,Nebraska,Big Ten,"$136,233,460 ","$124,148,206 "
22,Clemson,ACC,"$133,861,515 ","$131,978,513 "
23,Washington,Pac-12,"$133,792,677 ","$131,317,636 "
24,Minnesota,Big Ten,"$130,456,454 ","$129,450,256 "
25,Indiana,Big Ten,"$127,832,628 ","$114,822,135 "
26,Oregon,Pac-12,"$127,508,498 ","$128,943,543 "
27,Arizona State,Pac-12,"$121,698,840 ","$118,404,377 "
28,Kansas,Big 12,"$121,553,307 ","$108,881,800 "
29,Illinois,Big Ten,"$118,565,501 ","$120,168,951 "
30,Mississippi State,SEC,"$112,273,809 ","$98,832,615 "
31,Purdue,Big Ten,"$110,844,907 ","$102,026,477 "
32,Virginia,ACC,"$110,219,117 ","$112,621,238 "
33,Maryland,Big Ten,"$108,796,303 ","$108,785,924 "
34,Mississippi,SEC,"$108,442,428 ","$113,013,400 "
35,UCLA,Pac-12,"$108,412,967 ","$127,339,042 "
36,North Carolina,ACC,"$107,812,619 ","$110,809,706 "
37,Missouri,SEC,"$106,610,244 ","$108,398,447 "
38,Arizona,Pac-12,"$105,091,389 ","$100,565,835 "
39,Rutgers,Big Ten,"$103,251,280 ","$103,167,344 "
40,West Virginia,Big 12,"$102,680,928 ","$98,249,890 "
41,Utah,Pac-12,"$99,526,695 ","$96,000,514 "
42,Virginia Tech,ACC,"$96,772,489 ","$93,961,068 "
43,Texas Tech,Big 12,"$96,625,347 ","$95,132,604 "
44,Iowa State,Big 12,"$95,411,884 ","$95,315,376 "
45,Oklahoma State,Big 12,"$95,335,482 ","$95,008,483 "
46,Colorado,Pac-12,"$94,935,198 ","$98,413,284 "
47,North Carolina State,ACC,"$92,724,548 ","$90,100,025 "
48,Kansas State,Big 12,"$89,919,822 ","$83,079,244 "
49,California,Pac-12,"$87,500,758 ","$106,676,734 "
50,Georgia Tech,ACC,"$85,802,112 ","$96,334,831 "
51,Oregon State,Pac-12,"$82,058,386 ","$82,364,021 "
52,Connecticut,AAC,"$80,900,404 ","$80,814,173 "
53,Houston,AAC,"$75,049,955 ","$73,678,308 "
54,Washington State,Pac-12,"$71,691,339 ","$76,258,966 "
55,Central Florida,AAC,"$69,121,887 ","$67,916,343 "
56,Cincinnati,AAC,"$68,845,672 ","$66,832,326 "
57,Air Force,Mt. West,"$60,009,782 ","$54,192,115 "
58,East Carolina,AAC,"$59,970,346 ","$56,281,920 "
59,Colorado State,Mt. West,"$56,081,379 ","$54,289,162 "
60,Memphis,AAC,"$55,815,109 ","$55,494,325 "
61,South Florida,AAC,"$55,045,769 ","$53,569,756 "
62,San Diego State,Mt. West,"$54,731,404 ","$55,379,174 "
63,James Madison,CAA,"$52,704,654 ","$52,704,654 "
64,Nevada-Las Vegas,Mt. West,"$50,784,275 ","$50,445,250 "
65,Boise State,Mt. West,"$50,599,483 ","$49,758,472 "
66,Fresno State,Mt. West,"$49,772,999 ","$50,079,039 "
67,Massachusetts,A-10,"$49,461,013 ","$48,445,234 "
68,Hawaii,Big West,"$48,399,854 ","$51,340,094 "
69,Delaware,CAA,"$47,945,793 ","$47,947,933 "
70,Wyoming,Mt. West,"$47,046,852 ","$48,154,020 "
71,Old Dominion,C-USA,"$46,956,655 ","$49,376,061 "
72,Buffalo,MAC,"$45,977,952 ","$45,933,053 "
73,Nevada,Mt. West,"$43,653,404 ","$43,436,728 "
74,Utah State,Mt. West,"$41,558,060 ","$40,798,434 "
75,California-Davis,Big West,"$40,988,440 ","$39,562,673 "
76,Charlotte,C-USA,"$40,866,430 ","$38,454,232 "
77,New Mexico,Mt. West,"$40,832,286 ","$40,832,286 "
78,North Texas,C-USA,"$40,758,582 ","$39,908,256 "
79,Miami (Ohio),MAC,"$39,644,248 ","$38,650,630 "
80,Western Michigan,MAC,"$38,492,604 ","$38,997,076 "
81,Appalachian State,Sun Belt,"$37,996,512 ","$37,773,447 "
82,Coastal Carolina,Sun Belt,"$37,885,828 ","$37,823,535 "
83,Texas State,Sun Belt,"$37,834,341 ","$37,102,038 "
84,Akron,MAC,"$37,194,485 ","$37,275,978 "
85,Florida International,C-USA,"$37,018,133 ","$35,374,928 "
86,Alabama at Birmingham,C-USA,"$36,494,381 ","$35,697,117 "
87,Florida Atlantic,C-USA,"$36,297,004 ","$35,846,033 "
88,Middle Tennessee,C-USA,"$35,834,204 ","$35,834,204 "
89,Virginia Commonwealth,A-10,"$35,752,646 ","$35,826,994 "
90,Stony Brook,Am East,"$35,579,464 ","$36,515,041 "
91,Toledo,MAC,"$35,560,555 ","$35,560,555 "
92,Arkansas State,Sun Belt,"$35,550,592 ","$35,550,592 "
93,Georgia State,Sun Belt,"$35,546,650 ","$38,399,491 "
94,Central Michigan,MAC,"$34,942,574 ","$33,642,870 "
95,Ohio,MAC,"$34,763,420 ","$34,677,243 "
96,California Polytechnic,Big West,"$34,504,020 ","$31,465,374 "
97,Texas-San Antonio,C-USA,"$33,657,739 ","$32,278,508 "
98,South Alabama,Sun Belt,"$33,525,272 ","$33,964,076 "
99,Texas-El Paso,C-USA,"$33,481,654 ","$32,980,563 "
100,Towson,CAA,"$33,325,498 ","$32,371,073 "
101,Marshall,C-USA,"$32,905,904 ","$32,936,226 "
102,San Jose State,Mt. West,"$32,787,377 ","$33,184,068 "
103,Louisiana-Lafayette,Sun Belt,"$32,544,966 ","$37,104,736 "
104,Troy,Sun Belt,"$32,334,739 ","$32,334,739 "
105,New Hampshire,Am East,"$32,127,418 ","$32,206,158 "
106,Sacramento State,Big Sky,"$31,025,741 ","$30,566,334 "
107,Eastern Michigan,MAC,"$30,878,069 ","$30,878,069 "
108,Western Kentucky,C-USA,"$30,770,123 ","$30,770,123 "
109,George Mason,A-10,"$30,579,233 ","$30,579,233 "
110,North Dakota,Summit,"$30,499,909 ","$30,414,914 "
111,Wichita State,Mo. Valley,"$29,890,086 ","$30,163,207 "
112,William & Mary,CAA,"$29,505,573 ","$29,362,957 "
113,Georgia Southern,Sun Belt,"$29,483,912 ","$29,504,873 "
114,Kent State,MAC,"$29,460,111 ","$29,573,232 "
115,Illinois State,Mo. Valley,"$29,004,681 ","$26,742,643 "
116,Missouri State,Mo. Valley,"$28,767,433 ","$28,767,433 "
117,Rhode Island,A-10,"$28,579,307 ","$28,114,099 "
118,Kennesaw State,Atl Sun,"$28,516,561 ","$27,575,076 "
119,Northern Illinois,MAC,"$28,057,388 ","$26,483,239 "
120,New Mexico State,WAC,"$28,010,801 ","$28,011,103 "
121,Ball State,MAC,"$27,678,480 ","$27,911,602 "
122,North Dakota State,Summit,"$27,252,716 ","$27,489,584 "
123,Missouri-Kansas City,WAC,"$26,825,857 ","$12,978,814 "
124,Bowling Green,MAC,"$26,001,184 ","$25,780,900 "
125,Southern Mississippi,C-USA,"$25,687,189 ","$25,687,189 "
126,Louisiana Tech,C-USA,"$24,948,474 ","$24,910,914 "
127,Northern Arizona,Big Sky,"$23,829,909 ","$21,456,837 "
128,South Dakota State,Summit,"$23,406,082 ","$23,075,994 "
129,Montana,Big Sky,"$23,350,166 ","$22,066,048 "
130,California-Riverside,Big West,"$23,210,693 ","$24,204,996 "
131,Montana State,Big Sky,"$23,181,126 ","$23,222,276 "
132,California-Santa Barbara,Big West,"$23,118,249 ","$24,879,412 "
133,Binghamton,Am East,"$23,086,827 ","$21,806,087 "
134,Albany,Am East,"$23,074,542 ","$22,060,609 "
